2025-02-25 02:58:55 remove libssh2-1:arm64 1.10.0-3+b1 <none>
2025-02-25 02:58:55 status half-configured libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:55 status half-installed libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:55 status config-files libssh2-1:arm64 1.10.0-3+b1
2025-02-25 02:58:55 status not-installed libssh2-1:arm64 <none>
2025-02-25 02:58:55 status installed readline-common:all 8.2-1.3
2025-02-25 02:58:55 remove readline-common:all 8.2-1.3 <none>
2025-02-25 02:58:55 status half-configured readline-common:all 8.2-1.3
2025-02-25 02:58:55 status half-installed readline-common:all 8.2-1.3
2025-02-25 02:58:55 status config-files readline-common:all 8.2-1.3
2025-02-25 02:58:55 startup packages configure
2025-02-25 02:58:55 trigproc libc-bin:arm64 2.36-9+deb12u9 <none>
2025-02-25 02:58:55 status half-configured libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:55 status installed libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:58:55 startup packages purge
2025-02-25 02:58:55 purge libgssapi-krb5-2:arm64 1.20.1-2+deb12u2 <none>
2025-02-25 02:58:55 status config-files libgssapi-krb5-2:arm64 1.20.1-2+deb12u2
2025-02-25 02:58:55 status not-installed libgssapi-krb5-2:arm64 <none>
2025-02-25 02:58:55 purge readline-common:all 8.2-1.3 <none>
2025-02-25 02:58:55 status config-files readline-common:all 8.2-1.3
2025-02-25 02:58:55 status not-installed readline-common:all <none>
2025-02-25 02:58:55 startup packages configure
2025-02-25 02:59:00 startup archives unpack
2025-02-25 02:59:00 install gettext-base:arm64 <none> 0.21-12
2025-02-25 02:59:00 status half-installed gettext-base:arm64 0.21-12
2025-02-25 02:59:00 status unpacked gettext-base:arm64 0.21-12
2025-02-25 02:59:00 install libbrotli1:arm64 <none> 1.0.9-2+b6
2025-02-25 02:59:00 status triggers-pending libc-bin:arm64 2.36-9+deb12u9
2025-02-25 02:59:00 status half-installed libbrotli1:arm64 1.0.9-2+b6
